CITY,CITY_ID,TSEL,XL,ISAT,THREE,SMARTFREN,XL+,IOH
KEDIRI,3506,28.51,16.45,49.99,5.66,2.4,18.8,55.29
MALANG,3507,38.92,15.51,28.98,11.46,7.96,23.45,40.22
LUMAJANG,3508,40.52,20.24,33.23,4.39,4,24.14,37.57
JEMBER,3509,47.79,16.6,26.31,7.09,4.81,21.29,33.26
BANYUWANGI,3510,47.9,25.85,19.97,5.01,3.95,29.63,24.81
BONDOWOSO,3511,50.79,18.83,26.98,4.81,2.14,21.42,31.62
SITUBONDO,3512,47.82,24.48,19.85,8.12,2.96,27.28,28.06
PROBOLINGGO,3513,38.57,26.26,21.32,14.92,3.97,30.02,35.11
PASURUAN,3514,28.74,18.17,40.62,9.46,6.05,24.11,49.62
SIDOARJO,3515,32.36,18.39,26.44,16.99,9.43,27.7,43.1
MOJOKERTO,3516,26.25,18.76,45.54,7.22,5.62,24.06,52.68
JOMBANG,3517,24.13,14.91,54.28,5.94,3.73,18.57,59.77
NGANJUK,3518,34.89,18.36,38.61,8.5,2.99,21.21,46.35
MADIUN,3519,36.63,16.31,33.83,9.91,6.08,22.51,43.44
MAGETAN,3520,32.41,11.79,43.63,10.49,4.28,15.87,53.59
NGAWI,3521,33.69,14.11,45.02,5.11,4.98,19.05,49.48
BOJONEGORO,3522,35.35,13.74,37.25,7.73,9.7,23.08,44.44
TUBAN,3523,30.69,18.82,31.36,9.88,12.72,31.3,41.01
LAMONGAN,3524,24.02,12.82,52.05,7.51,6.09,18.96,59.41
GRESIK,3525,31.69,17.87,37.72,8.37,7.07,24.77,45.83
BANGKALAN,3526,26,41.5,26,6.35,4,45.36,31.79
SAMPANG,3527,22.71,53.42,18.67,5.82,2.33,55.31,24.22
PAMEKASAN,3528,21.97,61.9,11.07,5.94,2.15,64,17.04
SUMENEP,3529,29.7,59.72,8.34,3.75,2.15,61.83,12.19
KOTA KEDIRI,3571,32.46,16.12,43.08,8.72,2.61,19.34,51.31
KOTA BLITAR,3572,26.94,10.8,57.8,5.18,3.21,14.33,62.64
KOTA MALANG,3573,41.48,18.77,22,13.97,7.26,26.01,35.59
KOTA PROBOLINGGO,3574,45.2,21.12,17.04,16.83,3.4,24.3,33.02
KOTA PASURUAN,3575,30.9,27.14,31.12,8.95,5.22,31.96,39.59
KOTA MOJOKERTO,3576,23.75,18.42,46.29,8.6,6.37,24.16,54.65
KOTA MADIUN,3577,37.39,15.36,28.03,17.01,6.39,22.21,44.1
KOTA SURABAYA,3578,37.53,21.36,23.37,12.96,8.95,30.09,35.96
KOTA BATU,3579,41.39,17.78,25.39,12.27,5.87,24.34,37.63
PANDEGLANG,3601,16.53,50.97,25.88,7.11,2.65,53.64,32.93
LEBAK,3602,19.28,36.35,37.22,7.41,3.8,39.88,44.32
TANGERANG,3603,29.45,25.36,25.53,15.2,8.4,33.48,40.31
SERANG,3604,20.15,46.58,21.72,8.67,6.89,53.08,30.18
KOTA TANGERANG,3671,29.71,21.46,24.81,19.93,8.68,29.91,44.25
KOTA CILEGON,3672,29.39,38.34,11.11,21.65,4.57,42.46,31.97
KOTA SERANG,3673,23.2,46.66,12.44,18.16,4.43,50.82,30.17
KOTA TANGERANG SELATAN,3674,35.09,22.22,24.39,14.98,7.46,29.47,38.95
JEMBRANA,5101,25.05,44.27,20.44,3.63,9.37,52.39,23.97
TABANAN,5102,32.67,35.19,22.71,5.35,6.13,41.23,27.82
BADUNG,5103,38.83,27.77,20.65,7.46,6.67,34.23,27.91
GIANYAR,5104,32.86,39.49,17.71,6.05,5.39,44.76,23.67
KLUNGKUNG,5105,38,39.25,14.9,3.04,6.37,45.47,18.03
BANGLI,5106,35.15,43.4,16.03,1.7,4.89,47.91,17.79
KARANG ASEM,5107,33.98,29.5,28.04,2.5,8.3,37.55,30.7
BULELENG,5108,24.22,41.12,17.35,4.79,15.05,55.51,21.84
KOTA DENPASAR,5171,42.15,27.4,15.97,12.38,5.42,32.61,28.33
LOMBOK BARAT,5201,19.3,72.64,3.86,4.88,1.35,74.21,8.64
LOMBOK TENGAH,5202,13.14,78.7,4.44,3.67,0.95,79.41,8.1
LOMBOK TIMUR,5203,11.44,81.54,3.17,3.28,0.86,82.27,6.5
SUMBAWA,5204,66.63,29.71,4.39,1.48,1.63,31.01,5.92
DOMPU,5205,61.14,31.27,6.27,4.04,2.71,33.67,10.53
BIMA,5206,74.52,18.77,3.77,2.82,3.23,21.99,6.56
SUMBAWA BARAT,5207,80.92,16.53,3.54,1.79,1.42,16.92,5.36
LOMBOK UTARA,5208,32.67,64.92,1.93,3.25,0.83,66.06,5.19
KOTA MATARAM,5271,25.29,64.42,4.12,8.04,1.6,65.69,11.96
KOTA BIMA,5272,79.97,12.83,3.78,3.78,2.82,15.81,7.38
SUMBA BARAT,5301,88.79,1.44,4.38,6.94,0.31,1.81,11.04
SUMBA TIMUR,5302,85.12,2.66,4.59,9.84,1.19,3.74,14.04
KUPANG,5303,81.49,9.83,7.26,3.38,1.07,10.34,10.26
TIMOR TENGAH SELATAN,5304,91.42,3.7,4.11,3.74,0.5,4.17,7.91
TIMOR TENGAH UTARA,5305,88.32,5.24,5.29,2.76,0.42,5.67,7.75
BELU,5306,92.69,2.19,2.58,2.46,0.24,2.55,4.91
ALOR,5307,91.82,3.32,4.45,2.63,0.46,3.81,6.93
LEMBATA,5308,95.11,1.2,1.33,3.27,0.13,1.5,4.37
FLORES TIMUR,5309,91.39,1.35,4.22,4.89,0.27,1.67,9.13
SIKKA,5310,91.16,1.81,4.6,4.42,0.4,2.22,9.35
ENDE,5311,88,4.09,4.56,5.34,0.88,5,9.77
NGADA,5312,90.47,2.19,4.71,4.03,0.79,2.94,8.44
MANGGARAI,5313,84.84,5.88,5.5,7.63,0.57,6.23,13.15
ROTE NDAO,5314,92.82,2.07,3.96,3.24,0.45,2.77,7.3
MANGGARAI BARAT,5315,85.57,4.94,6.6,5.24,0.65,5.64,11.32
SUMBA TENGAH,5316,90.58,2.29,2.31,7.67,0.38,2.22,10.66
SUMBA BARAT DAYA,5317,91.02,1.55,4.65,5.73,0.62,2.07,10.55
NAGEKEO,5318,90.86,3.28,3.12,3.67,1.25,4.52,6.57
MANGGARAI TIMUR,5319,88.68,4.33,5.05,4.5,0.22,4.56,9.55
SABU RAIJUA,5320,96.81,0,0,0,0,0,0.34
MALAKA,5321,89.76,4.52,3.12,3.85,0.56,4.81,6.88
KOTA KUPANG,5371,78.82,10.4,9.99,3.83,1.17,11.45,13.62
SAMBAS,6101,37.85,22.86,26.73,11.31,0.79,23.78,37.54
BENGKAYANG,6102,40.3,17.23,35.94,9.55,1.01,18.5,44.63
LANDAK,6103,54.4,14.83,27.49,6.51,0.58,15.24,33.81
MEMPAWAH,6104,23.05,30.48,24.42,22.74,1.71,32.66,47.21
SANGGAU,6105,47.01,7.73,40.61,7.7,0.47,8.38,47.93
KETAPANG,6106,62.82,2.94,15.95,21.94,0.38,3.44,37.49
SINTANG,6107,51.65,6.59,41.87,3.9,0.32,7.02,45.32
KAPUAS HULU,6108,63.62,1.82,35.15,3.5,0.33,2.21,38.83
SEKADAU,6109,49.11,8.3,42.83,3.87,0.26,8.6,47.09
MELAWI,6110,71.72,2.02,25.57,3.8,0.26,2.07,29.38
KAYONG UTARA,6111,54.76,1.65,25.11,21.66,0.47,1.89,45.67
KUBU RAYA,6112,33.49,13.99,33.25,20.27,1.99,16.4,53
KOTA PONTIANAK,6171,32.45,13.83,28.7,27.53,1.81,15.5,55.54
KOTA SINGKAWANG,6172,28.83,25.31,20.81,26.14,2.15,27.38,46.12
KOTA WARINGIN BARAT,6201,50.19,9.7,40.72,3.89,0.56,10.36,44.85
KOTA WARINGIN TIMUR,6202,46.13,12.03,37.63,8.96,0.49,12.45,46.3
KAPUAS,6203,58.66,15.42,19.94,7.08,1.87,16.92,26.2
BARITO SELATAN,6204,81.17,6.58,12.88,2.23,0.52,7.04,15.38
BARITO UTARA,6205,74.57,2.94,25.89,1.39,0.15,3.15,26.53
SUKAMARA,6206,71.73,5.38,25.03,1.11,0.77,6.18,27.5
LAMANDAU,6207,74.04,2.99,27.87,1.12,0.34,3.24,29.74
SERUYAN,6208,65.39,4.63,32.22,1.03,0.57,5.26,32.83
KATINGAN,6209,67.66,7.39,23.92,4.82,0.43,8.11,29.46
PULANG PISAU,6210,65.25,13.89,22.39,1.52,0.58,14.8,23.89
GUNUNG MAS,6211,87.35,8.23,6.97,0.87,0.39,8.86,7.91
BARITO TIMUR,6212,71.29,9.1,19.88,1.7,0.9,9.71,21.05
MURUNG RAYA,6213,78.04,2.81,21.91,0.56,0.14,3,21.84
KOTA PALANGKARAYA,6271,65.76,14.53,14.73,8.94,0.56,14.72,23.48
TANAH LAUT,6301,40.16,37.37,20.02,3.73,3.43,40.42,23.69
KOTA BARU,6302,65.87,17.55,15.27,1.89,3.32,21.41,16.95
BANJAR,6303,33.26,33.32,18.01,13.2,6.88,39.95,30.46
BARITO KUALA,6304,27.19,25.04,38.24,3.64,9.98,35.59,42.03
TAPIN,6305,40.79,25.79,26.86,3.93,6.2,32.21,30.3
HULU SUNGAI SELATAN,6306,40.62,40.82,15.03,5.24,1.93,42.88,19.99
HULU SUNGAI TENGAH,6307,38.41,27.59,30.85,3.63,2.21,30.24,35.28
HULU SUNGAI UTARA,6308,39.35,38.24,16.22,11.34,1.73,39.95,25.92
TABALONG,6309,56.2,23.44,19.52,2.31,1.36,23.87,21.84
TANAH BUMBU,6310,57.93,24.83,18.55,1.88,1.7,26.19,20.2
BALANGAN,6311,42.72,26.82,30.59,2.41,2.71,28.28,32.65
KOTA BANJARMASIN,6371,33.2,31.1,23.99,11.57,5.35,35.98,35.12
KOTA BANJAR BARU,6372,37.94,28.9,25.24,9.37,2.97,31.71,34.31
PASER,6401,65.98,13.32,21.86,1.46,0.72,14.43,22.99
KUTAI BARAT,6402,80.55,3.77,17.07,1.69,0.4,4.27,18.97
KUTAI KARTANEGARA,6403,62.48,7.99,25.48,7.29,0.83,8.92,32.38
KUTAI TIMUR,6404,81.56,7.93,11.53,2.32,0.56,8.34,14.01
BERAU,6405,84.45,3.84,11.44,2.19,0.63,4.44,13.59
PENAJAM PASER UTARA,6409,55.75,9.65,34.26,3.4,1.03,10.9,37.31
MAHAKAM ULU,6411,94.08,1.09,4.51,0,0.77,2.09,5.42
KOTA BALIKPAPAN,6471,47.22,16.67,25.39,13.82,1.91,18.65,38.7
KOTA SAMARINDA,6472,65.57,12.98,17.29,6.74,1.35,14.26,23.9
KOTA BONTANG,6474,66.21,7.76,18.27,11.13,0.62,8.6,29.91
MALINAU,6501,82.8,3.5,14.8,1.91,0.26,3.97,16.64
BULUNGAN,6502,89.4,2.39,8.29,2.04,0.54,2.89,9.88
TANA TIDUNG,6503,81.62,2.48,17.36,2.48,0,2.77,20.86
NUNUKAN,6504,82.45,2.06,7.71,10.89,0.64,2.73,18.33
KOTA TARAKAN,6571,78.73,3.57,10.14,10.56,0.79,4.21,20.34
BOLAANG MONGONDOW,7101,51.65,2.06,42.84,5.15,3.16,5.22,48.34
MINAHASA,7102,49.31,11.8,16.97,22.04,4.71,16.46,38.66
KEPULAUAN SANGIHE,7103,96.08,0.89,0.82,0.57,0.39,1.37,1.52
KEPULAUAN TALAUD,7104,98.92,0,0,0.81,0,0.88,0
MINAHASA SELATAN,7105,55.27,5.76,29.04,11.7,3.17,8.79,39.91
MINAHASA UTARA,7106,62.98,9.85,11.83,14.19,5.49,14.71,25.67
BOLAANG MONGONDOW UTARA,7107,68.79,4.15,25.06,5.72,0.73,4.99,31.01
SIAU TAGULANDANG BIARO,7108,98.08,0.82,1.33,0,0,1.65,1.41
MINAHASA TENGGARA,7109,57.7,12.47,21.19,12.7,1.39,14.44,33.69
BOLAANG MONGONDOW SELATAN,7110,48.61,1.83,50.23,6.52,1.46,3.37,54.94
BOLAANG MONGONDOW TIMUR,7111,63.05,2.51,27.79,9.74,2.56,4.94,37.34
KOTA MANADO,7171,57.02,12.81,11.08,19.94,4.48,17.1,30.81
KOTA BITUNG,7172,57.49,18.98,7.39,18.18,3.9,23.1,25.4
KOTA TOMOHON,7173,54.92,9.86,18.97,16.22,3.79,13.59,34.32
KOTA KOTAMOBAGU,7174,45.56,3.18,37.93,15.76,2.19,5.43,53.71
BANGGAI KEPULAUAN,7201,94.17,2.24,2.89,0.78,0.47,2.71,3.67
BANGGAI,7202,62.04,3.49,34.97,2.48,0.57,4.11,37.61
MOROWALI,7203,60.46,6.01,34.71,4.98,0.41,6.39,38.97
POSO,7204,70.65,11.4,14.53,7.98,0.85,11.98,21.43
DONGGALA,7205,52.04,18.04,26.52,7.46,1.63,19.53,32.52
TOLI-TOLI,7206,85.34,2.93,10.49,2.76,0.63,3.43,13.33
BUOL,7207,92.84,1.94,4.76,1.29,0.51,2.54,6
PARIGI MOUTONG,7208,52.82,20.45,26.16,5.52,1.03,21.57,31.37
TOJO UNA-UNA,7209,81.22,5.74,9.83,6.34,0.55,6.29,15.78
SIGI,7210,58.74,17.32,23.54,6.11,1.31,18.99,28.74
BANGGAI LAUT,7211,97.36,0,3.65,0,0,0,4.28
MOROWALI UTARA,7212,52.02,5.44,43.2,4.67,0.76,6.15,47.78
KOTA PALU,7271,59.97,17.21,20.45,7.26,1.08,18.33,27.16
SELAYAR,7301,56.96,1.7,36.19,8.16,1,2.72,41.98
BULUKUMBA,7302,32.63,29.68,23.86,6.39,14.05,42.21,30.26
BANTAENG,7303,26.24,24.13,34.53,4.36,16.42,39.62,39.17
JENEPONTO,7304,24.97,22.28,29.42,4.17,23.9,46.84,34.42
TAKALAR,7305,28.2,29.74,22.75,4.42,21.31,50.27,26.53
GOWA,7306,33.53,20.62,21.07,8.26,22.41,42.32,29.57
SINJAI,7307,41.01,30.22,14.48,8.18,12.68,42.01,21.99
MAROS,7308,26.35,25.54,19.01,9.13,25.11,50.01,27.98
PANGKAJENE DAN KEPULAUAN,7309,36.81,25.53,14.33,5.81,22.81,47.54,19.98
BARRU,7310,46.58,23.35,13.46,5.72,16.34,38.7,18.82
BONE,7311,45.89,26.23,14.54,12.53,6.87,32.25,26.67
SOPPENG,7312,42.08,18.78,11.45,7.38,24.34,42.95,19.38
WAJO,7313,52.14,16.82,17.1,5.98,12.95,30.45,22.8
SIDENRENG RAPPANG,7314,42.86,23.8,16.77,8.6,12.53,36.07,25.64
PINRANG,7315,45.04,19.99,15.93,13.52,9.74,29.95,29.23
ENREKANG,7316,69.4,9.44,13.69,3.07,8,17,16.62
LUWU,7317,53.64,22.7,16.37,5.45,6.76,29.2,21.39
TANA TORAJA,7318,79.34,1.83,13.17,6.77,3.66,5.41,19.54
LUWU UTARA,7322,54.54,22.07,18.03,4.08,5.33,27.14,21.82
LUWU TIMUR,7325,60.71,19.5,15.67,3.02,5.22,24.7,18.92
