CITY,CITY_ID,TSEL,XL,ISAT,THREE,SMARTFREN,XL+,IOH
WAROPEN,9426,96.58,0,0,0,0,0,3.19
MAMBERAMO RAYA,9428,100,0,0,0,0,0,0.79
NDUGA,9429,0,0,0,0,0,0,0
LANNY JAYA,9430,93,3,0,0,0,2.5,2.5
MAMBERAMO TENGAH,9431,100,0,1.04,0,0,0.5,1.04
YALIMO,9432,90.91,0,0,0,0,0,0
PUNCAK,9433,94.5,0,5.5,0,0,4.47,8.93
DOGIYAI,9434,98.09,0,0,0,0,3.18,0
INTAN JAYA,9435,94.85,0,0,0,0,6.19,9.28
DEIYAI,9436,96.36,0,0,0,0,0,0
KOTA JAYAPURA,9471,94.26,0.27,5.56,1.06,0.11,0.38,6.52
